Proteome Id	Organism	Organism Id	Protein count	BUSCO	CPD
UP000000438	Picrophilus torridus (strain ATCC 700027 / DSM 9790 / JCM 10055 / NBRC 100828)	263820	1535	C:99.1%[S:98.5%,D:0.6%],F:0.0%,M:0.9%,n:340	Standard
UP000000536	Thermococcus kodakarensis (strain ATCC BAA-918 / JCM 12380 / KOD1) (Pyrococcus kodakaraensis (strain KOD1))	69014	2301	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:234	Close to standard (high value)
UP000000590	Methanococcus maripaludis (strain S2 / LL)	267377	1722	C:99.7%[S:99.7%,D:0.0%],F:0.3%,M:0.0%,n:958	Standard
UP000000792	Nitrosopumilus maritimus (strain SCM1)	436308	1795	C:99.3%[S:98.8%,D:0.6%],F:0.3%,M:0.4%,n:722	Standard
UP000001013	Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1)	186497	2044	C:99.6%[S:99.1%,D:0.4%],F:0.0%,M:0.4%,n:234	Standard
UP000001059	Methanohalophilus mahii (strain ATCC 35705 / DSM 5219 / SLP)	547558	1986	C:99.3%[S:99.3%,D:0.0%],F:0.0%,M:0.7%,n:588	Close to standard (low value)
UP000001746	Halomicrobium mukohataei (strain ATCC 700874 / DSM 12286 / JCM 9738 / NCIMB 13541) (Haloarcula mukohataei)	485914	3343	C:99.3%[S:98.8%,D:0.6%],F:0.1%,M:0.6%,n:904	Standard
UP000002487	Methanosarcina acetivorans (strain ATCC 35395 / DSM 2834 / JCM 12185 / C2A)	188937	4468	C:99.1%[S:98.8%,D:0.3%],F:0.3%,M:0.5%,n:588	Outlier (high value)
UP000002613	Ferroglobus placidus (strain DSM 10642 / AEDII12DO)	589924	2463	C:100.0%[S:100.0%,D:0.0%],F:0.0%,M:0.0%,n:234	Close to standard (high value)
UP000002654	Thermoproteus tenax (strain ATCC 35583 / DSM 2078 / JCM 9277 / NBRC 100435 / Kra 1)	768679	2047	C:99.0%[S:99.0%,D:0.0%],F:0.2%,M:0.7%,n:404	Standard
UP000005741	Methanoplanus limicola DSM 2279	937775	2928	C:99.7%[S:98.5%,D:1.1%],F:0.0%,M:0.3%,n:882	Close to standard (high value)
UP000006565	Methanolacinia petrolearia (strain DSM 11571 / OCM 486 / SEBR 4847) (Methanoplanus petrolearius)	679926	2779	C:99.5%[S:98.8%,D:0.8%],F:0.0%,M:0.5%,n:882	Close to standard (high value)
UP000006622	Methanosalsum zhilinae (strain DSM 4017 / NBRC 107636 / OCM 62 / WeN5) (Methanohalophilus zhilinae)	679901	1972	C:99.1%[S:99.0%,D:0.2%],F:0.0%,M:0.9%,n:588	Close to standard (low value)
UP000006663	Halogeometricum borinquense (strain ATCC 700274 / DSM 11551 / JCM 10706 / KCTC 4070 / PR3)	469382	3894	C:99.9%[S:99.2%,D:0.7%],F:0.0%,M:0.1%,n:1039	Close to standard (high value)
UP000006681	Vulcanisaeta distributa (strain DSM 14429 / JCM 11212 / NBRC 100878 / IC-017)	572478	2493	C:99.8%[S:99.5%,D:0.2%],F:0.0%,M:0.2%,n:404	Close to standard (high value)
UP000006794	Halopiger xanaduensis (strain DSM 18323 / JCM 14033 / SH-6)	797210	4221	C:99.4%[S:99.0%,D:0.4%],F:0.0%,M:0.6%,n:1368	Standard
UP000007490	Methanobacterium lacus (strain AL-21)	877455	2493	C:99.9%[S:99.0%,D:0.9%],F:0.0%,M:0.1%,n:782	Close to standard (high value)
UP000008136	Archaeoglobus veneficus (strain DSM 11195 / SNP6)	693661	2065	C:99.1%[S:98.3%,D:0.9%],F:0.4%,M:0.4%,n:234	Standard
UP000008243	Haloferax volcanii (strain ATCC 29605 / DSM 3757 / JCM 8879 / NBRC 14742 / NCIMB 2012 / VKM B-1768 / DS2) (Halobacterium volcanii)	309800	3921	C:99.9%[S:99.7%,D:0.2%],F:0.1%,M:0.0%,n:1039	Close to standard (high value)
UP000009227	Methanotorris igneus (strain DSM 5666 / JCM 11834 / Kol 5)	880724	1753	C:99.2%[S:98.4%,D:0.7%],F:0.0%,M:0.8%,n:958	Standard
UP000010843	Natrinema pellirubrum (strain DSM 15624 / CIP 106293 / JCM 10476 / NCIMB 786 / 157)	797303	4138	C:99.8%[S:98.9%,D:0.9%],F:0.0%,M:0.2%,n:1368	Standard
UP000010866	Methanomethylovorans hollandica (strain DSM 15978 / NBRC 107637 / DMS1)	867904	2551	C:99.7%[S:99.0%,D:0.7%],F:0.0%,M:0.3%,n:588	Standard
UP000012672	Methanomethylophilus alvus (strain Mx1201)	1236689	1643	C:99.1%[S:98.8%,D:0.3%],F:0.3%,M:0.6%,n:340	Standard
UP000014066	Methanobrevibacter sp. AbM4	224719	1663	C:99.5%[S:99.5%,D:0.0%],F:0.0%,M:0.5%,n:782	Standard
UP000017867	Methanobacterium sp. MB1	1379702	2013	C:99.1%[S:98.8%,D:0.3%],F:0.3%,M:0.6%,n:782	Close to standard (low value)
UP000019483	Methanolobus tindarius DSM 2278	1090322	2912	C:99.7%[S:99.5%,D:0.2%],F:0.0%,M:0.3%,n:588	Standard
UP000027981	Palaeococcus pacificus DY20341	1343739	1991	C:99.6%[S:99.6%,D:0.0%],F:0.0%,M:0.4%,n:234	Standard
UP000066737	Halobacterium hubeiense	1407499	3340	C:99.3%[S:98.9%,D:0.4%],F:0.0%,M:0.7%,n:904	Standard
UP000094736	Methanobacterium sp. A39	1860100	3065	C:99.4%[S:97.8%,D:1.5%],F:0.0%,M:0.6%,n:782	Outlier (high value)
UP000183275	Halopiger salifodinae	1202768	4090	C:99.2%[S:99.0%,D:0.2%],F:0.0%,M:0.8%,n:1368	Standard
UP000184203	Haladaptatus paucihalophilus DX253	797209	4339	C:99.6%[S:98.2%,D:1.3%],F:0.2%,M:0.2%,n:904	Close to standard (high value)
UP000184357	Halobaculum gomorrense	43928	3149	C:99.6%[S:99.3%,D:0.3%],F:0.0%,M:0.4%,n:1039	Standard
UP000185687	Haloterrigena daqingensis	588898	3795	C:99.7%[S:99.3%,D:0.4%],F:0.0%,M:0.3%,n:1368	Standard
UP000186914	Haladaptatus litoreus	553468	4885	C:99.8%[S:98.6%,D:1.2%],F:0.0%,M:0.2%,n:904	Close to standard (high value)
UP000187924	Halorientalis sp. IM1011	1932360	3726	C:99.9%[S:99.2%,D:0.7%],F:0.0%,M:0.1%,n:904	Standard
UP000191661	Methanobrevibacter arboriphilus JCM 13429 = DSM 1125	1300164	1961	C:99.6%[S:99.4%,D:0.3%],F:0.3%,M:0.1%,n:782	Standard
UP000198876	Halopelagius inordinatus	553467	3559	C:99.9%[S:99.7%,D:0.2%],F:0.1%,M:0.0%,n:1039	Standard
UP000199062	Halomicrobium zhouii	767519	4091	C:99.8%[S:99.3%,D:0.4%],F:0.0%,M:0.2%,n:904	Standard
UP000199170	Halobellus clavatus	660517	3679	C:99.4%[S:98.8%,D:0.6%],F:0.1%,M:0.5%,n:1039	Standard
UP000199370	Haloarchaeobius iranensis	996166	3852	C:99.6%[S:99.2%,D:0.3%],F:0.2%,M:0.2%,n:904	Close to standard (high value)
UP000199451	Halogranum gelatinilyticum	660521	3752	C:99.7%[S:99.6%,D:0.1%],F:0.1%,M:0.2%,n:1039	Standard
UP000236740	Halobellus limi	699433	3637	C:99.4%[S:98.7%,D:0.7%],F:0.0%,M:0.6%,n:1039	Standard
UP000245577	Methanobrevibacter woesei	190976	1581	C:99.2%[S:99.0%,D:0.3%],F:0.0%,M:0.8%,n:782	Close to standard (low value)
UP000251717	Methanobrevibacter thaueri	190975	2136	C:99.4%[S:98.6%,D:0.8%],F:0.0%,M:0.6%,n:782	Close to standard (high value)
UP000252983	halophilic archaeon	29295	5207	C:99.3%[S:96.5%,D:2.9%],F:0.2%,M:0.4%,n:904	Close to standard (high value)
UP000266745	Candidatus Nitrosotenuis cloacae	1603555	1717	C:99.6%[S:99.6%,D:0.0%],F:0.0%,M:0.4%,n:722	Unknown
UP000277703	Halobellus sp. Atlit-38R	2282131	3864	C:99.7%[S:98.1%,D:1.6%],F:0.1%,M:0.2%,n:1039	Close to standard (high value)
UP000297295	Methanolobus halotolerans	2052935	2452	C:99.8%[S:99.7%,D:0.2%],F:0.0%,M:0.2%,n:588	Close to standard (low value)
UP000305339	Halorubrum sp. SD626R	1419722	6274	C:99.7%[S:37.8%,D:61.9%],F:0.2%,M:0.1%,n:1039	Outlier (high value)
UP000681041	Methanobacterium alkalithermotolerans	2731220	2119	C:99.7%[S:99.5%,D:0.3%],F:0.0%,M:0.3%,n:782	Standard
